52.2068,36.5088,1.00476
54.4604,60.4162,0.993654
53.9937,57.2705,1.04952
56.7037,82.0857,1.0348
60.8723,115.45,1.00386
50.1911,52.5191,0.986625
50.8663,59.7846,1.13215
-1,-1,-1
-1,-1,-1
68.8026,113.476,0.963373
62.9673,94.3669,0.971112
54.6334,76.6118,0.980968
50.3675,41.9524,0.978318
65.7747,115.69,0.984256
61.0454,97.5101,0.963739
52.991,74.6661,0.986259
-1,-1,-1
66.5386,106.225,1.02384
54.8782,64.0906,1.04693
58.0562,83.0668,0.986682
56.3071,74.8434,1.14919
-1,-1,-1
54.5249,57.1572,0.993684
58.033,66.1203,1.19761
53.3297,71.5137,1.05725
63.2038,110.359,0.998669
65.1732,121.891,0.984957
65.2072,129.915,1.03045
69.5594,134.505,1.04753
83.7935,154.505,1.05583
55.5123,71.8632,0.983699
91.1288,177.487,0.991438
89.8168,170.85,0.977671
92.2464,173.975,0.981641
50.6805,37.1342,1.02137
54.4793,50.4965,1.00436
57.6787,62.4341,1.00137
56.1531,62.3869,1.10312
55.5215,78.54,0.999719
-1,-1,-1
58.6761,76.6257,1.00718
59.2679,74.9354,1.00392
58.6443,75.606,1.02069
58.359,75.4312,1.03944
58.2482,70.7904,1.0061
58.6253,75.6853,1.01787
56.9191,81.2477,0.986309
56.3757,85.2604,1.0046
55.884,82.6091,1.0121
52.5384,79.8738,0.979107
52.3115,80.147,0.985335
52.1238,81.692,1.00827
53.2903,85.7295,1.0387
53.4449,87.5271,1.03878
53.9574,84.4401,1.00708
55.997,83.6415,1.02391
57.7919,87.3852,1.02186
56.0677,86.6251,1.05265
55.536,82.2752,1.00179
62.6732,90.91,1.06221
55.7925,84.5943,0.980798
65.653,104.899,0.986486
65.0398,105.73,1.01336
61.9514,106.927,1.02754
61.6558,110.04,1.05896
56.4587,86.4817,0.998141
55.9478,87.7978,0.999314
55.632,89.2754,1.00647
56.9712,91.3771,1.02741
55.3162,91.0479,1.02983
