-0.113,0.016,1.083,1.285,
-0.098,0.014,1.007,1.285,
-0.085,0.012,0.932,1.285,
-0.073,0.010,0.889,1.286,
-0.062,0.008,0.832,1.286,
-0.051,0.006,0.780,1.286,
-0.043,0.006,0.762,1.286,
-0.034,0.005,0.726,1.286,
-0.025,0.003,0.659,1.286,
-0.016,0.002,0.596,1.285,
-0.003,0.002,0.514,1.285,
0.008,0.004,0.470,1.285,
0.018,0.007,0.454,1.285,
0.026,0.011,0.460,1.284,
0.034,0.014,0.459,1.284,
0.041,0.017,0.452,1.283,
0.049,0.020,0.429,1.283,
0.056,0.023,0.402,1.282,
0.062,0.026,0.398,1.282,
0.067,0.029,0.416,1.281,
0.070,0.029,0.424,1.280,
0.071,0.029,0.404,1.280,
0.072,0.028,0.363,1.279,
0.073,0.027,0.321,1.279,
0.073,0.025,0.290,1.278,
0.073,0.023,0.277,1.277,
0.073,0.019,0.249,1.277,
0.073,0.016,0.236,1.276,
0.071,0.015,0.266,1.276,
0.069,0.013,0.300,1.275,
0.068,0.009,0.282,1.275,
0.067,0.003,0.233,1.275,
0.065,-0.002,0.200,1.274,
0.065,-0.006,0.195,1.274,
0.064,-0.010,0.197,1.274,
0.062,-0.014,0.165,1.274,
0.060,-0.018,0.151,1.273,
0.058,-0.022,0.149,1.273,
0.056,-0.026,0.119,1.273,
0.054,-0.030,0.093,1.273,
0.051,-0.033,0.097,1.273,
0.048,-0.037,0.068,1.273,
0.045,-0.041,0.022,1.273,
0.041,-0.043,0.018,1.273,
0.038,-0.044,0.039,1.272,
0.035,-0.045,0.062,1.272,
0.032,-0.046,0.088,1.272,
0.030,-0.047,0.079,1.272,
0.027,-0.048,0.065,1.272,
0.024,-0.048,0.088,1.272,
0.020,-0.051,0.088,1.272,
0.016,-0.054,0.065,1.271,
0.012,-0.058,0.035,1.271,
0.008,-0.061,0.014,1.272,
0.004,-0.064,0.015,1.272,
-0.000,-0.066,0.009,1.272,
-0.005,-0.069,-0.016,1.272,
-0.009,-0.072,-0.026,1.272,
-0.013,-0.074,-0.026,1.272,
-0.018,-0.076,-0.020,1.272,
-0.023,-0.079,-0.008,1.272,
-0.030,-0.084,-0.018,1.272,
-0.036,-0.088,-0.022,1.272,
-0.043,-0.093,-0.042,1.272,
-0.050,-0.097,-0.080,1.272,
-0.056,-0.100,-0.059,1.272,
-0.062,-0.103,-0.041,1.273,
-0.067,-0.107,-0.060,1.273,
-0.072,-0.108,-0.044,1.273,
-0.076,-0.109,-0.030,1.273,
-0.080,-0.109,-0.033,1.273,
-0.083,-0.111,-0.055,1.274,
-0.086,-0.112,-0.079,1.274,
-0.089,-0.112,-0.065,1.274,
-0.092,-0.114,-0.073,1.274,
-0.095,-0.114,-0.059,1.274,
-0.097,-0.115,-0.065,1.275,
-0.100,-0.116,-0.061,1.275,
-0.102,-0.117,-0.065,1.275,
-0.104,-0.118,-0.068,1.276,
-0.106,-0.119,-0.063,1.276,
-0.107,-0.119,-0.070,1.276,
-0.109,-0.118,-0.044,1.276,
-0.109,-0.118,-0.056,1.276,
-0.110,-0.117,-0.065,1.277,
-0.112,-0.117,-0.074,1.277,
-0.112,-0.118,-0.080,1.277,
-0.113,-0.118,-0.097,1.277,
-0.113,-0.117,-0.085,1.277,
-0.113,-0.117,-0.073,1.278,
-0.114,-0.118,-0.108,1.278,
-0.114,-0.120,-0.113,1.278,
-0.114,-0.122,-0.121,1.278,
-0.114,-0.123,-0.108,1.279,
-0.114,-0.124,-0.077,1.279,
-0.115,-0.125,-0.050,1.279,
-0.114,-0.125,-0.056,1.279,
-0.114,-0.125,-0.063,1.279,
-0.112,-0.126,-0.071,1.280,
-0.111,-0.126,-0.071,1.280,
-0.111,-0.127,-0.042,1.280,
-0.111,-0.130,-0.051,1.281,
-0.111,-0.132,-0.058,1.281,
-0.111,-0.135,-0.051,1.281,
-0.111,-0.138,-0.050,1.281,
-0.111,-0.139,-0.063,1.281,
-0.112,-0.141,-0.042,1.281,
-0.112,-0.142,-0.050,1.281,
-0.112,-0.143,-0.059,1.281,
-0.111,-0.143,-0.045,1.281,
-0.110,-0.143,-0.066,1.282,
-0.109,-0.142,-0.068,1.282,
